Feature 1,Feature 2,Correlation
deficiency_tag_842,deficiency_tag_758,0.21
deficiency_tag_690,Rating Cycle 1 Total Health Score,0.21
deficiency_tag_658,deficiency_tag_812,0.21
Total Number of Penalties,deficiency_tag_684,0.21
deficiency_tag_690,deficiency_tag_725,0.21
deficiency_tag_584,severity_code_C,0.21
deficiency_tag_804,deficiency_tag_921,0.21
deficiency_tag_880,deficiency_tag_676,0.21
Rating Cycle 3 Health Deficiency Score,severity_code_L,0.21
deficiency_tag_585,Rating Cycle 2 Health Deficiency Score,0.21
deficiency_tag_757,deficiency_tag_686,0.21
deficiency_tag_600,deficiency_tag_697,0.21
Rating Cycle 1 Total Health Score,deficiency_tag_558,0.21
Rating Cycle 2 Health Revisit Score,Rating Cycle 3 Total Number of Health Deficiencies,0.21
Total Amount of Fines in Dollars,health_inspection_rating_4,-0.21
mds_quality_code_454,severity_code_F,-0.21
severity_code_E,Number of administrators who have left the nursing home,0.21
deficiency_tag_656,deficiency_tag_698,0.21
deficiency_tag_803,Rating Cycle 2 Number of Complaint Health Deficiencies,0.21
Rating Cycle 3 Health Deficiency Score,health_inspection_rating_4,-0.21
Total Amount of Fines in Dollars,mds_quality_code_430,-0.21
quality_rating_2,short_stay_quality_rating_2,0.21
severity_code_F,deficiency_tag_688,0.21
deficiency_tag_921,deficiency_tag_761,0.21
deficiency_tag_697,deficiency_tag_725,0.21
deficiency_tag_732,Rating Cycle 3 Number of Standard Health Deficiencies,0.21
mds_quality_code_430,severity_code_G,-0.21
Rating Cycle 1 Number of Standard Health Deficiencies,deficiency_tag_688,0.21
deficiency_tag_686,deficiency_tag_554,0.21
deficiency_tag_880,deficiency_tag_583,0.21
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_698,0.21
deficiency_tag_609,deficiency_tag_623,0.21
Rating Cycle 3 Number of Standard Health Deficiencies,deficiency_tag_806,0.21
Number of Fines,severity_code_D,0.21
long_stay_quality_rating_4,long_stay_quality_rating_1,-0.21
deficiency_tag_804,deficiency_tag_698,0.21
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Number of Health Revisits,0.21
deficiency_tag_690,deficiency_tag_842,0.21
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_658,0.21
deficiency_tag_757,severity_code_E,0.21
deficiency_tag_658,deficiency_tag_698,0.21
severity_code_D,deficiency_tag_700,0.21
deficiency_tag_806,Rating Cycle 1 Total Number of Health Deficiencies,0.21
Rating Cycle 2 Number of Complaint Health Deficiencies,mds_quality_code_472,-0.21
Rating Cycle 3 Number of Complaint Health Deficiencies,mds_quality_code_472,-0.21
deficiency_tag_641,deficiency_tag_867,0.21
deficiency_tag_689,health_inspection_rating_5,-0.21
Rating Cycle 3 Health Deficiency Score,deficiency_tag_842,0.21
deficiency_tag_561,deficiency_tag_584,0.21
deficiency_tag_842,Rating Cycle 3 Total Health Score,0.21
deficiency_tag_919,Rating Cycle 2 Health Deficiency Score,0.21
Rating Cycle 2 Total Health Score,Rating Cycle 3 Health Revisit Score,0.21
deficiency_tag_695,deficiency_tag_578,0.21
claims_quality_code_551,mds_quality_code_480,-0.21
mds_quality_code_419,quality_rating_5,-0.21
deficiency_tag_925,Rating Cycle 1 Number of Complaint Health Deficiencies,0.20
health_inspection_rating_4,dollars_per_fine_count,-0.20
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_759,0.20
short_stay_quality_rating_5,short_stay_quality_rating_4,-0.20
Rating Cycle 1 Health Revisit Score,Number of Payment Denials,0.20
deficiency_tag_804,deficiency_tag_760,0.20
severity_code_K,severity_code_E,0.20
Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_698,0.20
deficiency_tag_561,Rating Cycle 1 Total Number of Health Deficiencies,0.20
deficiency_tag_842,Rating Cycle 1 Total Health Score,0.20
deficiency_tag_656,deficiency_tag_759,0.20
deficiency_tag_908,deficiency_tag_842,0.20
short_stay_quality_rating_3,short_stay_quality_rating_4,-0.20
deficiency_tag_842,Rating Cycle 2 Health Deficiency Score,0.20
deficiency_tag_803,Rating Cycle 2 Health Deficiency Score,0.20
deficiency_tag_726,Rating Cycle 3 Total Health Score,0.20
Rating Cycle 3 Health Revisit Score,Rating Cycle 2 Number of Complaint Health Deficiencies,0.20
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_688,0.20
deficiency_tag_757,deficiency_tag_657,0.20
deficiency_tag_925,deficiency_tag_609,0.20
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_867,0.20
deficiency_tag_925,Rating Cycle 3 Total Health Score,0.20
Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 1 Number of Health Revisits,0.20
deficiency_tag_695,Rating Cycle 1 Number of Complaint Health Deficiencies,0.20
severity_code_F,Rating Cycle 2 Number of Health Revisits,0.20
deficiency_tag_677,deficiency_tag_925,0.20
deficiency_tag_658,Rating Cycle 2 Health Deficiency Score,0.20
deficiency_tag_908,deficiency_tag_812,0.20
deficiency_tag_607,deficiency_tag_623,0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_727,0.20
mds_quality_code_454,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.20
deficiency_tag_690,health_inspection_rating_1,0.20
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_727,0.20
deficiency_tag_585,deficiency_tag_686,0.20
Rating Cycle 3 Health Revisit Score,deficiency_tag_689,0.20
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_554,0.20
deficiency_tag_600,deficiency_tag_919,0.20
deficiency_tag_697,deficiency_tag_758,0.20
deficiency_tag_695,deficiency_tag_758,0.20
deficiency_tag_623,deficiency_tag_684,0.20
severity_code_C,deficiency_tag_607,0.20
deficiency_tag_732,deficiency_tag_584,0.20
Rating Cycle 3 Health Revisit Score,severity_code_D,0.20
severity_code_J,severity_code_G,0.20
mds_quality_code_430,Rating Cycle 1 Total Number of Health Deficiencies,-0.20
deficiency_tag_806,deficiency_tag_684,0.20
deficiency_tag_550,deficiency_tag_607,0.20
deficiency_tag_641,deficiency_tag_812,0.20
deficiency_tag_759,deficiency_tag_578,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,dollars_per_fine_count,0.20
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_656,0.20
quality_rating_4,short_stay_quality_rating_1,-0.20
deficiency_tag_925,severity_code_G,0.20
deficiency_tag_623,deficiency_tag_698,0.20
severity_code_F,special_focus_status_sff_candidate,0.20
mds_quality_code_472,Rating Cycle 1 Total Number of Health Deficiencies,-0.20
deficiency_tag_689,deficiency_tag_676,0.20
Rating Cycle 3 Health Revisit Score,deficiency_tag_867,0.20
deficiency_tag_550,Rating Cycle 3 Health Revisit Score,0.20
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_806,0.20
Rating Cycle 2 Health Revisit Score,health_inspection_rating_1,0.20
quality_rating_5,short_stay_quality_rating_2,-0.20
abuse_icon,severity_code_E,0.20
deficiency_tag_758,deficiency_tag_688,0.20
deficiency_tag_656,deficiency_tag_690,0.20
Rating Cycle 2 Total Health Score,health_inspection_rating_5,-0.20
deficiency_tag_804,Number of Payment Denials,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_919,0.20
Rating Cycle 2 Total Health Score,deficiency_tag_803,0.20
mds_quality_code_430,health_inspection_rating_1,-0.20
deficiency_tag_698,Rating Cycle 3 Total Health Score,0.20
quality_rating_2,claims_quality_code_552,0.20
severity_code_H,Total Amount of Fines in Dollars,0.20
deficiency_tag_585,severity_code_G,0.20
Rating Cycle 1 Total Health Score,deficiency_tag_759,0.20
Rating Cycle 2 Number of Health Revisits,Rating Cycle 3 Total Health Score,0.20
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_732,0.20
quality_rating_1,mds_quality_code_407,0.20
deficiency_tag_584,deficiency_tag_688,0.20
deficiency_tag_803,deficiency_tag_600,0.20
deficiency_tag_657,deficiency_tag_725,0.20
severity_code_H,Rating Cycle 2 Health Deficiency Score,0.20
quality_rating_2,mds_quality_code_401,0.20
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_676,0.20
deficiency_tag_584,deficiency_tag_867,0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_656,0.20
deficiency_tag_641,deficiency_tag_655,0.20
deficiency_tag_925,deficiency_tag_558,0.20
deficiency_tag_610,deficiency_tag_759,0.20
long_stay_quality_rating_2,long_stay_quality_rating_3,-0.20
deficiency_tag_550,deficiency_tag_679,0.20
mds_quality_code_415,deficiency_tag_686,-0.20
health_inspection_rating_4,Rating Cycle 3 Total Health Score,-0.20
deficiency_tag_880,deficiency_tag_919,0.20
Rating Cycle 1 Health Revisit Score,severity_code_E,0.20
severity_code_E,deficiency_tag_814,0.20
deficiency_tag_725,deficiency_tag_688,0.20
mds_quality_code_419,mds_quality_code_472,-0.20
mds_quality_code_410,mds_quality_code_401,0.20
deficiency_tag_695,Rating Cycle 3 Number of Complaint Health Deficiencies,0.20
Rating Cycle 2 Health Deficiency Score,deficiency_tag_698,0.20
Rating Cycle 3 Number of Health Revisits,Rating Cycle 1 Total Number of Health Deficiencies,0.20
deficiency_tag_658,severity_code_G,0.20
deficiency_tag_558,deficiency_tag_759,0.20
severity_code_F,deficiency_tag_814,0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_688,0.20
deficiency_tag_657,Rating Cycle 1 Number of Complaint Health Deficiencies,0.20
short_stay_quality_rating_5,mds_quality_code_434,-0.20
deficiency_tag_727,Rating Cycle 2 Number of Complaint Health Deficiencies,0.20
Rating Cycle 2 Total Number of Health Deficiencies,ownership_non_profit_corporation,-0.20
deficiency_tag_656,deficiency_tag_607,0.20
deficiency_tag_921,Rating Cycle 3 Number of Standard Health Deficiencies,0.20
deficiency_tag_585,Total Amount of Fines in Dollars,0.20
deficiency_tag_697,Rating Cycle 1 Health Deficiency Score,0.20
Rating Cycle 2 Health Revisit Score,dollars_per_fine_count,0.20
special_focus_status_sff_candidate,severity_code_D,0.20
deficiency_tag_688,Rating Cycle 3 Total Health Score,0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_925,0.20
deficiency_tag_761,deficiency_tag_655,0.20
deficiency_tag_689,deficiency_tag_881,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_925,0.20
deficiency_tag_641,deficiency_tag_636,0.20
Number of Substantiated Complaints,Rating Cycle 3 Number of Health Revisits,0.20
deficiency_tag_759,deficiency_tag_698,0.20
Number of Citations from Infection Control Inspections,health_inspection_rating_1,0.20
deficiency_tag_842,Number of Citations from Infection Control Inspections,0.20
deficiency_tag_600,Rating Cycle 1 Number of Standard Health Deficiencies,0.20
Rating Cycle 2 Total Health Score,deficiency_tag_759,0.20
deficiency_tag_600,deficiency_tag_761,0.20
deficiency_tag_700,Rating Cycle 1 Number of Standard Health Deficiencies,0.20
deficiency_tag_584,deficiency_tag_658,0.20
Total Number of Penalties,Rating Cycle 1 Number of Standard Health Deficiencies,0.20
deficiency_tag_880,deficiency_tag_655,0.20
deficiency_tag_658,deficiency_tag_684,0.20
Rating Cycle 2 Total Number of Health Deficiencies,mds_quality_code_415,-0.20
deficiency_tag_803,Rating Cycle 1 Health Deficiency Score,0.20
deficiency_tag_758,deficiency_tag_881,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_908,0.20
deficiency_tag_689,deficiency_tag_554,0.20
Rating Cycle 2 Total Health Score,Number of administrators who have left the nursing home,0.20
Rating Cycle 3 Total Number of Health Deficiencies,mds_quality_code_430,-0.20
health_inspection_rating_1,Number of administrators who have left the nursing home,0.20
deficiency_tag_880,deficiency_tag_679,0.20
deficiency_tag_812,deficiency_tag_607,0.20
deficiency_tag_558,deficiency_tag_725,0.20
deficiency_tag_908,deficiency_tag_761,0.20
Rating Cycle 1 Total Number of Health Deficiencies,Number of administrators who have left the nursing home,0.20
Rating Cycle 3 Health Revisit Score,deficiency_tag_725,0.20
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_812,0.20
deficiency_tag_585,deficiency_tag_698,0.20
mds_quality_code_430,Number of Payment Denials,-0.20
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_727,0.20
mds_quality_code_454,Rating Cycle 1 Total Number of Health Deficiencies,-0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_759,0.20
deficiency_tag_755,deficiency_tag_758,0.20
deficiency_tag_695,deficiency_tag_760,0.20
deficiency_tag_558,deficiency_tag_814,0.20
deficiency_tag_677,Number of Fines,0.20
deficiency_tag_726,deficiency_tag_697,0.20
mds_quality_code_434,short_stay_quality_rating_1,0.20
deficiency_tag_803,deficiency_tag_761,0.20
deficiency_tag_623,deficiency_tag_578,0.20
health_inspection_rating_2,health_inspection_rating_5,-0.20
deficiency_tag_600,deficiency_tag_727,0.20
deficiency_tag_880,deficiency_tag_641,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_867,0.20
deficiency_tag_676,Rating Cycle 1 Total Number of Health Deficiencies,0.20
mds_quality_code_430,deficiency_tag_684,-0.20
deficiency_tag_550,Rating Cycle 3 Number of Health Revisits,0.20
quality_rating_1,quality_rating_4,-0.20
deficiency_tag_755,deficiency_tag_925,0.20
Total Amount of Fines in Dollars,Number of Citations from Infection Control Inspections,0.20
Rating Cycle 3 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,0.20
deficiency_tag_585,Rating Cycle 1 Total Health Score,0.20
Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_578,0.20
Number of Payment Denials,deficiency_tag_693,0.20
deficiency_tag_677,deficiency_tag_578,0.20
deficiency_tag_693,Rating Cycle 3 Number of Standard Health Deficiencies,0.20
deficiency_tag_625,deficiency_tag_689,0.20
deficiency_tag_610,deficiency_tag_842,0.20
deficiency_tag_756,deficiency_tag_578,0.20
deficiency_tag_656,Rating Cycle 3 Total Health Score,0.20
deficiency_tag_585,deficiency_tag_725,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_582,0.20
deficiency_tag_656,deficiency_tag_760,0.20
severity_code_K,Rating Cycle 2 Number of Complaint Health Deficiencies,0.20
deficiency_tag_726,Rating Cycle 1 Number of Standard Health Deficiencies,0.20
deficiency_tag_757,Rating Cycle 2 Total Number of Health Deficiencies,0.20
deficiency_tag_585,Rating Cycle 1 Health Deficiency Score,0.20
Rating Cycle 1 Health Deficiency Score,deficiency_tag_578,0.20
severity_code_F,Rating Cycle 3 Number of Health Revisits,0.20
Rating Cycle 3 Health Deficiency Score,mds_quality_code_472,-0.20
deficiency_tag_842,deficiency_tag_867,0.20
deficiency_tag_584,deficiency_tag_645,0.20
Rating Cycle 3 Total Number of Health Deficiencies,abuse_icon,0.20
health_inspection_rating_4,Rating Cycle 3 Number of Standard Health Deficiencies,-0.20
Number of Substantiated Complaints,deficiency_tag_657,0.20
deficiency_tag_761,Rating Cycle 3 Total Health Score,0.20
Rating Cycle 2 Total Health Score,deficiency_tag_698,0.20
deficiency_tag_656,deficiency_tag_732,0.20
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_641,0.20
Total Number of Penalties,dollars_per_fine_count,0.20
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_881,0.20
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_727,0.20
deficiency_tag_610,mds_quality_code_472,-0.20
deficiency_tag_697,deficiency_tag_610,0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_726,0.20
deficiency_tag_610,deficiency_tag_812,0.20
deficiency_tag_610,Number of Fines,0.20
deficiency_tag_625,deficiency_tag_582,0.20
deficiency_tag_760,deficiency_tag_758,0.20
deficiency_tag_756,deficiency_tag_692,0.20
Rating Cycle 3 Number of Health Revisits,deficiency_tag_684,0.20
deficiency_tag_695,Rating Cycle 1 Total Health Score,0.20
deficiency_tag_919,deficiency_tag_684,0.20
deficiency_tag_607,Rating Cycle 1 Number of Standard Health Deficiencies,0.20
Rating Cycle 3 Health Deficiency Score,deficiency_tag_698,0.20
deficiency_tag_690,mds_quality_code_408,0.20
Number of Fines,deficiency_tag_686,0.20
deficiency_tag_656,deficiency_tag_919,0.20
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_657,0.20
Rating Cycle 1 Total Health Score,deficiency_tag_578,0.20
Rating Cycle 2 Health Revisit Score,Rating Cycle 3 Health Deficiency Score,0.20
claims_quality_code_552,mds_quality_code_410,0.20
Rating Cycle 3 Number of Complaint Health Deficiencies,mds_quality_code_408,0.20
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_921,0.20
Rating Cycle 2 Health Revisit Score,deficiency_tag_584,0.20
Rating Cycle 2 Number of Health Revisits,deficiency_tag_689,0.20
Number of Citations from Infection Control Inspections,severity_code_E,0.20
deficiency_tag_726,Rating Cycle 1 Number of Complaint Health Deficiencies,0.20
quality_rating_5,long_stay_quality_rating_3,-0.20
deficiency_tag_686,deficiency_tag_676,0.20
Total Amount of Fines in Dollars,Number of administrators who have left the nursing home,0.20
severity_code_L,Rating Cycle 3 Total Health Score,0.20
Rating Cycle 2 Health Deficiency Score,mds_quality_code_472,-0.19
deficiency_tag_561,deficiency_tag_657,0.19
mds_quality_code_472,Rating Cycle 3 Total Health Score,-0.19
deficiency_tag_695,Rating Cycle 3 Total Health Score,0.19
Rating Cycle 3 Health Deficiency Score,deficiency_tag_761,0.19
deficiency_tag_757,deficiency_tag_880,0.19
Rating Cycle 2 Health Revisit Score,special_focus_status_sff,0.19
Rating Cycle 3 Health Deficiency Score,health_inspection_rating_5,-0.19
deficiency_tag_625,deficiency_tag_578,0.19
deficiency_tag_695,deficiency_tag_726,0.19
deficiency_tag_921,deficiency_tag_550,0.19
Rating Cycle 3 Health Deficiency Score,deficiency_tag_867,0.19
mds_quality_code_454,deficiency_tag_689,-0.19
deficiency_tag_812,health_inspection_rating_1,0.19
deficiency_tag_690,deficiency_tag_607,0.19
deficiency_tag_582,Rating Cycle 3 Number of Standard Health Deficiencies,0.19
deficiency_tag_695,deficiency_tag_641,0.19
Rating Cycle 2 Health Deficiency Score,Number of administrators who have left the nursing home,0.19
deficiency_tag_697,deficiency_tag_693,0.19
Rating Cycle 2 Total Health Score,deficiency_tag_919,0.19
deficiency_tag_757,deficiency_tag_580,0.19
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_758,0.19
deficiency_tag_695,Total Amount of Fines in Dollars,0.19
deficiency_tag_697,deficiency_tag_812,0.19
special_focus_status_sff,Number of Payment Denials,0.19
mds_quality_code_454,severity_code_E,-0.19
deficiency_tag_697,deficiency_tag_655,0.19
deficiency_tag_908,deficiency_tag_925,0.19
deficiency_tag_727,deficiency_tag_689,0.19
mds_quality_code_454,Rating Cycle 2 Number of Complaint Health Deficiencies,-0.19
deficiency_tag_658,deficiency_tag_623,0.19
mds_quality_code_407,mds_quality_code_451,0.19
Rating Cycle 3 Number of Complaint Health Deficiencies,abuse_icon,0.19
deficiency_tag_657,deficiency_tag_698,0.19
deficiency_tag_676,deficiency_tag_692,0.19
deficiency_tag_883,Rating Cycle 1 Health Deficiency Score,0.19
deficiency_tag_921,health_inspection_rating_1,0.19
deficiency_tag_693,Rating Cycle 1 Number of Complaint Health Deficiencies,0.19
deficiency_tag_582,deficiency_tag_657,0.19
deficiency_tag_880,deficiency_tag_756,0.19
deficiency_tag_727,severity_code_G,0.19
deficiency_tag_692,deficiency_tag_578,0.19
deficiency_tag_842,health_inspection_rating_1,0.19
deficiency_tag_726,Rating Cycle 3 Number of Complaint Health Deficiencies,0.19
short_stay_quality_rating_3,quality_rating_3,0.19
Rating Cycle 2 Number of Complaint Health Deficiencies,Number of administrators who have left the nursing home,0.19
deficiency_tag_883,deficiency_tag_812,0.19
deficiency_tag_812,Rating Cycle 3 Number of Health Revisits,0.19
deficiency_tag_695,deficiency_tag_725,0.19
deficiency_tag_625,deficiency_tag_610,0.19
deficiency_tag_695,Rating Cycle 3 Health Deficiency Score,0.19
mds_quality_code_454,Rating Cycle 3 Number of Complaint Health Deficiencies,-0.19
deficiency_tag_656,deficiency_tag_679,0.19
deficiency_tag_921,deficiency_tag_558,0.19
Rating Cycle 1 Health Revisit Score,severity_code_L,0.19
deficiency_tag_921,Rating Cycle 1 Number of Standard Health Deficiencies,0.19
deficiency_tag_610,deficiency_tag_881,0.19
deficiency_tag_760,deficiency_tag_658,0.19
Number of Substantiated Complaints,deficiency_tag_623,0.19
deficiency_tag_645,Rating Cycle 3 Number of Standard Health Deficiencies,0.19
deficiency_tag_697,deficiency_tag_688,0.19
deficiency_tag_558,deficiency_tag_607,0.19
deficiency_tag_693,deficiency_tag_812,0.19
deficiency_tag_610,deficiency_tag_756,0.19
deficiency_tag_693,deficiency_tag_698,0.19
deficiency_tag_600,deficiency_tag_758,0.19
deficiency_tag_600,deficiency_tag_759,0.19
deficiency_tag_726,deficiency_tag_658,0.19
Rating Cycle 2 Health Revisit Score,deficiency_tag_725,0.19
severity_code_D,abuse_icon,0.19
deficiency_tag_641,deficiency_tag_584,0.19
deficiency_tag_695,deficiency_tag_688,0.19
mds_quality_code_454,Rating Cycle 2 Total Number of Health Deficiencies,-0.19
Rating Cycle 2 Health Revisit Score,Rating Cycle 3 Number of Complaint Health Deficiencies,0.19
deficiency_tag_582,Rating Cycle 1 Number of Standard Health Deficiencies,0.19
Number of Fines,deficiency_tag_609,0.19
deficiency_tag_756,deficiency_tag_842,0.19
Total Number of Penalties,mds_quality_code_472,-0.19
deficiency_tag_697,deficiency_tag_657,0.19
deficiency_tag_883,deficiency_tag_600,0.19
deficiency_tag_756,deficiency_tag_623,0.19
deficiency_tag_732,deficiency_tag_812,0.19
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_688,0.19
deficiency_tag_804,deficiency_tag_580,0.19
Rating Cycle 2 Total Health Score,deficiency_tag_842,0.19
Rating Cycle 2 Health Deficiency Score,deficiency_tag_693,0.19
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_583,0.19
Rating Cycle 2 Total Health Score,mds_quality_code_472,-0.19
health_inspection_rating_4,health_inspection_rating_5,-0.19
deficiency_tag_695,severity_code_F,0.19
mds_quality_code_472,mds_quality_code_408,-0.19
Rating Cycle 1 Health Deficiency Score,deficiency_tag_758,0.19
deficiency_tag_697,Rating Cycle 1 Total Health Score,0.19
quality_rating_1,quality_rating_5,-0.19
deficiency_tag_641,deficiency_tag_623,0.19
deficiency_tag_656,deficiency_tag_636,0.19
deficiency_tag_732,deficiency_tag_689,0.19
deficiency_tag_692,mds_quality_code_472,-0.19
deficiency_tag_656,severity_code_G,0.19
deficiency_tag_658,deficiency_tag_686,0.19
deficiency_tag_550,deficiency_tag_806,0.19
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_758,0.19
deficiency_tag_609,deficiency_tag_578,0.19
deficiency_tag_804,deficiency_tag_697,0.19
quality_rating_5,short_stay_quality_rating_3,-0.19
severity_code_F,mds_quality_code_408,0.19
deficiency_tag_584,Rating Cycle 3 Number of Health Revisits,0.19
deficiency_tag_842,deficiency_tag_806,0.19
deficiency_tag_726,health_inspection_rating_1,0.19
deficiency_tag_550,deficiency_tag_925,0.19
deficiency_tag_804,deficiency_tag_919,0.19
deficiency_tag_657,severity_code_G,0.19
deficiency_tag_625,deficiency_tag_580,0.19
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_676,0.19
deficiency_tag_803,deficiency_tag_760,0.19
deficiency_tag_656,deficiency_tag_676,0.19
health_inspection_rating_4,deficiency_tag_684,-0.19
deficiency_tag_550,deficiency_tag_693,0.19
deficiency_tag_561,deficiency_tag_684,0.19
Total Number of Penalties,deficiency_tag_558,0.19
Rating Cycle 1 Number of Complaint Health Deficiencies,Number of administrators who have left the nursing home,0.19
health_inspection_rating_5,deficiency_tag_684,-0.19
deficiency_tag_558,deficiency_tag_692,0.19
Rating Cycle 2 Number of Standard Health Deficiencies,mds_quality_code_430,-0.19
deficiency_tag_726,deficiency_tag_755,0.19
severity_code_F,deficiency_tag_806,0.19
deficiency_tag_689,deficiency_tag_806,0.19
deficiency_tag_804,deficiency_tag_695,0.19
Rating Cycle 3 Health Deficiency Score,deficiency_tag_921,0.19
deficiency_tag_656,deficiency_tag_692,0.19
deficiency_tag_921,Rating Cycle 3 Total Health Score,0.19
deficiency_tag_756,Rating Cycle 3 Total Health Score,0.19
deficiency_tag_761,health_inspection_rating_5,-0.19
deficiency_tag_692,deficiency_tag_554,0.19
deficiency_tag_692,deficiency_tag_623,0.19
deficiency_tag_755,deficiency_tag_806,0.19
deficiency_tag_625,deficiency_tag_656,0.19
Number of Substantiated Complaints,deficiency_tag_578,0.19
deficiency_tag_919,health_inspection_rating_1,0.19
deficiency_tag_677,mds_quality_code_415,-0.19
deficiency_tag_759,Rating Cycle 3 Total Health Score,0.19
Rating Cycle 2 Total Number of Health Deficiencies,deficiency_tag_554,0.19
deficiency_tag_761,deficiency_tag_725,0.19
Total Number of Penalties,Number of Citations from Infection Control Inspections,0.19
deficiency_tag_880,deficiency_tag_554,0.19
deficiency_tag_804,deficiency_tag_623,0.19
deficiency_tag_803,severity_code_G,0.19
deficiency_tag_677,Rating Cycle 2 Number of Health Revisits,0.19
mds_quality_code_454,deficiency_tag_610,-0.19
deficiency_tag_623,Rating Cycle 3 Total Health Score,0.19
deficiency_tag_759,health_inspection_rating_1,0.19
Rating Cycle 2 Total Health Score,deficiency_tag_867,0.19
severity_code_J,deficiency_tag_686,0.19
deficiency_tag_697,deficiency_tag_658,0.19
quality_rating_1,quality_rating_3,-0.19
deficiency_tag_610,deficiency_tag_698,0.19
Total Number of Penalties,abuse_icon,0.19
deficiency_tag_925,deficiency_tag_919,0.19
Total Number of Penalties,deficiency_tag_607,0.19
mds_quality_code_454,Total Number of Penalties,-0.19
deficiency_tag_558,deficiency_tag_688,0.19
deficiency_tag_679,deficiency_tag_692,0.19
severity_code_F,mds_quality_code_415,-0.19
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_641,0.19
deficiency_tag_883,deficiency_tag_657,0.19
Number of Substantiated Complaints,deficiency_tag_867,0.19
deficiency_tag_883,Rating Cycle 1 Number of Complaint Health Deficiencies,0.19
short_stay_quality_rating_5,quality_rating_3,-0.19
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_806,0.19
deficiency_tag_883,Rating Cycle 1 Total Health Score,0.19
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_693,0.19
mds_quality_code_410,mds_quality_code_407,0.19
Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_623,0.19
Total Amount of Fines in Dollars,deficiency_tag_759,0.19
Rating Cycle 2 Number of Standard Health Deficiencies,mds_quality_code_472,-0.19
deficiency_tag_755,deficiency_tag_725,0.19
deficiency_tag_585,Rating Cycle 3 Number of Standard Health Deficiencies,0.19
Total Number of Penalties,deficiency_tag_692,0.19
severity_code_F,deficiency_tag_698,0.19
deficiency_tag_636,Rating Cycle 3 Number of Standard Health Deficiencies,0.19
Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Health Revisits,0.19
deficiency_tag_883,deficiency_tag_761,0.19
deficiency_tag_610,Rating Cycle 3 Health Revisit Score,0.19
Number of Fines,Rating Cycle 3 Number of Standard Health Deficiencies,0.19
deficiency_tag_656,deficiency_tag_610,0.19
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_645,0.19
severity_code_H,dollars_per_fine_count,0.19
severity_code_F,deficiency_tag_679,0.19
health_inspection_rating_5,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.19
